step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,x,y,theta,safety,action
25,60.4,68.3,65.4,66.1,68.7,70.7,66.5,69.1,1.16,0.0,9.844,-0.17,-4845.563,-0.057,1.188,0.1005,1.287,1.89,rough,0,6.7,60.4,66.5,0.0315,0.004,0.114,ok,avanzando en rough
26,58.1,71.5,68.7,73.3,71.5,67.1,62.8,68.5,-0.901,0.0,9.823,-0.126,2420.564,0.103,2.061,0.0502,1.338,1.941,rough,0.0,5.2,58.1,62.8,0.0325,0.0041,0.114,ok,avanzando en rough
27,73.1,67.2,64.6,71.3,65.3,65.9,63.2,67.4,-0.03,0.0,9.86,-0.107,2527.622,-0.026,0.872,0.0502,1.388,1.991,rough,0,0.2,67.4,63.2,0.0335,0.0042,0.114,ok,avanzando en rough
28,64.5,68.2,68.1,69.9,61.2,64.7,69.0,64.4,-0.027,0.0,9.821,-0.078,-62.528,-0.059,0.04,0.0502,1.438,2.041,carpet,0.0,0.2,64.4,68.2,0.0345,0.0044,0.114,ok,avanzando en carpet
29,67.8,64.2,69.2,67.2,65.8,64.1,67.6,66.2,1.156,0.0,9.771,-0.07,-4861.182,-0.008,1.184,0.1005,1.539,2.141,rough,0,6.7,66.2,64.2,0.0365,0.0046,0.114,ok,avanzando en rough
30,66.4,70.8,70.6,71.7,66.9,69.1,67.1,72.2,-0.903,-0.0,9.784,-0.075,2430.278,0.126,2.058,0.0502,1.589,2.192,rough,0,5.3,66.4,67.1,0.0375,0.0047,0.114,ok,avanzando en rough
31,64.0,63.3,69.0,71.1,59.8,65.2,68.7,65.7,-0.031,0.0,9.802,-0.035,2533.295,-0.011,0.871,0.0502,1.639,2.242,rough,0,0.2,64.0,63.3,0.0385,0.0048,0.114,ok,avanzando en rough
32,71.7,66.5,68.8,70.1,68.7,71.9,69.3,67.8,-0.028,-0.0,9.762,-0.023,-69.89,-0.053,0.04,0.0502,1.689,2.292,carpet,0.0,0.2,67.8,66.5,0.0395,0.0049,0.114,ok,avanzando en carpet
33,67.9,63.9,63.9,60.2,67.6,67.3,66.4,69.7,1.152,0.0,9.771,-0.023,-4898.935,0.0,1.18,0.1005,1.79,2.393,rough,0,6.7,67.9,63.9,0.0415,0.0052,0.114,ok,explorando (rough)
34,72.6,68.4,69.3,69.5,65.4,66.1,60.5,68.9,-0.026,-0.005,9.849,3.137,-86.476,88.337,1.181,-0.0031,2.449,1.727,rough,0.0,0.2,68.9,60.5,0.0414,0.0052,-0.329,ok,avanzando en rough
35,67.4,68.5,71.3,70.9,67.2,65.5,66.8,65.4,1.177,-0.001,9.781,-4.767,-4930.131,70.606,1.205,0.0502,2.499,1.777,rough,0.0,6.9,65.4,66.8,0.0424,0.0049,-0.284,ok,explorando (rough)
