step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,x,y,theta,safety,action
559,63.7,68.5,64.2,67.1,67.1,62.5,66.7,64.6,1.402,0.0,9.856,9.572,-15.988,-33.238,1.386,0.0691,33.805,33.322,rough,0.018,8.1,63.7,66.7,0.3801,-0.4693,-0.28,ok,avanzando en rough
560,67.6,62.3,65.9,70.2,62.5,72.9,74.5,65.2,-0.457,-0.001,9.806,6.852,1945.18,-25.473,1.86,0.0502,33.855,33.372,rough,0,2.7,65.2,62.3,0.3811,-0.4696,-0.297,ok,avanzando en rough
561,68.3,69.5,69.8,67.3,70.7,66.3,64.6,71.3,-0.056,0.001,9.8,3.151,-228.694,-19.279,0.401,0.0502,33.906,33.422,metal,0.0,0.3,68.3,64.6,0.382,-0.4699,-0.309,ok,avanzando en metal
562,68.3,70.6,63.3,62.8,75.4,71.9,66.9,69.1,1.61,0.0,9.815,4.956,-6974.217,-17.201,1.666,0.1193,34.025,33.541,rough,0.01,9.3,68.3,66.9,0.3843,-0.4706,-0.32,ok,avanzando en rough
563,63.0,69.1,66.4,71.5,68.0,67.1,65.7,73.5,-1.275,-0.0,9.78,0.376,3492.452,-13.016,2.886,0.0502,34.075,33.592,rough,0,7.4,63.0,65.7,0.3853,-0.471,-0.328,ok,avanzando en rough
564,61.8,66.5,65.3,64.0,68.3,69.1,66.4,65.0,-0.062,0.0,9.867,0.743,3653.845,-10.23,1.217,0.0502,34.126,33.642,rough,0.0,0.4,61.8,66.4,0.3862,-0.4713,-0.335,ok,avanzando en rough
565,71.0,66.1,65.3,59.5,65.6,69.0,70.4,66.5,0.014,0.0,9.798,-0.368,-1811.275,-7.442,0.102,0.0502,34.176,33.692,metal,0.0,0.1,66.5,66.1,0.3872,-0.4716,-0.34,ok,avanzando en metal
566,68.7,60.3,62.3,60.7,67.2,68.4,63.5,68.6,1.386,0.0,9.829,0.397,-27.961,-7.218,1.373,0.1225,34.295,33.818,rough,0,8.0,68.6,60.3,0.3895,-0.4725,-0.342,ok,avanzando en rough
567,69.2,69.6,66.9,68.0,73.3,66.5,65.6,67.1,-1.63,0.0,9.776,-0.407,6669.034,-5.181,3.016,0.0502,34.345,33.868,rough,0,9.5,67.1,65.6,0.3904,-0.4728,-0.345,ok,avanzando en rough
568,65.2,61.5,76.1,66.2,70.1,63.3,69.8,63.5,-0.126,0.0,9.777,-0.574,-3332.323,-3.002,1.504,0.0502,34.396,33.918,rough,0,0.7,63.5,61.5,0.3914,-0.4731,-0.347,ok,avanzando en rough
569,66.8,72.3,68.7,69.8,65.7,70.9,71.5,67.8,0.02,0.0,9.84,-1.016,-3476.176,-2.652,0.159,0.0502,34.446,33.969,metal,0.0,0.1,66.8,71.5,0.3923,-0.4735,-0.349,ok,avanzando en metal
570,71.5,65.2,64.1,66.0,70.6,67.3,75.0,66.5,1.32,0.0,9.827,-0.154,1685.516,-3.179,1.3,0.1225,34.571,34.088,rough,0,7.7,66.5,65.2,0.3946,-0.4743,-0.353,ok,avanzando en rough
571,65.9,61.0,61.7,71.0,64.2,71.5,67.1,71.8,-1.424,-0.0,9.811,-0.944,-138.128,-1.744,2.744,0.0502,34.622,34.138,rough,0,8.3,65.9,61.0,0.3955,-0.4747,-0.354,ok,avanzando en rough
572,70.3,67.2,67.7,63.5,68.8,62.9,65.8,70.7,-0.037,0.0,9.855,-0.767,-191.455,-1.449,1.387,0.0502,34.672,34.188,rough,0.0,0.2,70.3,65.8,0.3965,-0.475,-0.355,ok,avanzando en rough
573,68.3,61.2,72.7,65.8,69.0,63.1,66.4,60.7,-0.027,0.0,9.807,-0.66,-235.141,-1.117,0.049,0.0502,34.722,34.239,carpet,0.0,0.2,60.7,61.2,0.3974,-0.4754,-0.356,ok,avanzando en carpet
574,65.1,62.5,69.8,70.4,64.4,66.4,70.7,67.5,1.161,0.0,9.826,-0.516,-5038.495,-0.988,1.189,0.1005,34.823,34.339,rough,0,6.7,65.1,62.5,0.3993,-0.4761,-0.357,ok,avanzando en rough
575,68.0,65.5,66.3,67.1,62.9,65.2,70.4,64.6,-0.899,0.0,9.834,-0.277,2520.661,-0.874,2.061,0.0502,34.873,34.389,rough,0.0,5.2,64.6,65.5,0.4002,-0.4764,-0.357,ok,avanzando en rough
576,64.9,63.7,64.7,67.1,74.0,69.8,66.1,69.9,-0.032,0.0,9.801,-0.452,2634.316,-0.486,0.868,0.0502,34.923,34.44,rough,0,0.2,64.9,63.7,0.4012,-0.4768,-0.358,ok,avanzando en rough
577,71.1,66.6,74.3,66.6,72.2,64.2,66.3,66.0,-0.029,0.0,9.778,-0.376,-74.341,-0.296,0.023,0.0502,34.973,34.49,carpet,0.0,0.2,66.0,66.3,0.4021,-0.4771,-0.358,ok,avanzando en carpet
578,67.5,71.5,65.6,65.2,69.6,69.1,70.8,65.2,1.156,0.0,9.82,-0.305,-4886.322,-0.293,1.186,0.1005,35.074,34.59,rough,0,6.7,65.2,70.8,0.404,-0.4778,-0.358,ok,avanzando en rough
579,64.9,59.8,65.9,70.3,68.0,71.4,68.0,67.4,-0.904,0.0,9.816,-0.12,2433.42,-0.343,2.06,0.0502,35.124,34.64,rough,0.0,5.3,64.9,59.8,0.405,-0.4782,-0.358,ok,avanzando en rough
580,66.3,69.6,69.6,72.7,66.5,71.9,71.5,72.5,-0.033,-0.0,9.866,-0.236,2540.929,-0.079,0.872,0.0502,35.174,34.691,rough,0,0.2,66.3,69.6,0.4059,-0.4785,-0.358,ok,avanzando en rough
581,62.5,65.9,66.0,64.2,72.6,69.4,65.0,70.1,-0.03,0.0,9.79,-0.186,-78.859,0.01,0.076,0.0502,35.225,34.741,carpet,0.0,0.2,62.5,65.0,0.4068,-0.4789,-0.358,ok,avanzando en carpet
582,66.1,68.6,65.2,67.0,63.8,64.0,66.3,64.7,1.164,0.0,9.762,-0.157,-4879.314,-0.05,1.194,0.1005,35.325,34.841,rough,0,6.8,64.7,66.3,0.4087,-0.4796,-0.358,ok,avanzando en rough
583,66.8,69.8,69.1,69.2,66.8,67.6,69.5,64.3,-0.908,0.0,9.78,-0.031,2445.728,-0.144,2.072,0.0502,35.375,34.892,rough,0.0,5.3,64.3,69.5,0.4097,-0.4799,-0.358,ok,explorando (rough)
584,70.5,63.8,68.6,70.1,68.1,67.7,68.9,64.9,-0.069,0.007,9.786,-8.55,-307.398,-35.184,0.84,0.0,35.074,35.193,rough,0.0,0.4,64.9,63.8,0.4097,-0.4799,-0.154,ok,avanzando en rough
585,71.3,67.8,66.0,67.7,69.2,67.5,67.6,64.4,1.133,-0.0,9.772,-3.778,-5245.617,-29.568,1.202,0.0502,35.124,35.243,rough,0,6.6,64.4,67.6,0.4106,-0.4801,-0.173,ok,avanzando en rough
586,70.3,66.9,69.7,72.4,64.6,71.6,62.3,70.3,0.044,0.001,9.825,-0.762,2573.516,-23.452,1.091,0.0502,35.174,35.294,rough,0.0,0.3,70.3,62.3,0.4116,-0.4803,-0.188,ok,explorando (rough)
587,65.2,69.6,68.8,63.9,61.7,66.8,69.2,67.8,-0.035,0.005,9.842,-3.221,-66.301,-60.019,0.08,-0.0,34.873,35.595,sand,0.0,0.2,65.2,69.2,0.4116,-0.4803,0.001,ok,avanzando en sand
588,70.0,68.4,66.4,60.9,69.5,72.8,66.3,66.6,1.639,0.001,9.771,4.489,-6792.235,-46.473,1.675,0.0691,34.942,35.664,rough,0.018,9.5,66.6,66.3,0.413,-0.4803,-0.028,ok,avanzando en rough
589,61.7,66.9,75.3,69.0,73.7,67.2,65.3,70.7,-0.272,0.001,9.781,2.251,3389.469,-36.762,1.911,0.0502,34.992,35.714,rough,0.0,1.6,61.7,65.3,0.414,-0.4804,-0.052,ok,avanzando en rough
590,71.4,74.7,65.2,67.1,57.9,59.1,71.0,71.3,-0.032,0.001,9.753,2.459,3572.754,-30.719,0.242,0.0502,35.042,35.765,metal,0,0.2,71.3,71.0,0.415,-0.4805,-0.072,ok,avanzando en metal
591,65.2,69.5,66.2,65.8,65.5,74.2,71.6,64.8,1.471,0.001,9.803,4.446,-3145.929,-24.503,1.504,0.1193,35.162,35.884,rough,0.01,8.5,64.8,69.5,0.4174,-0.4807,-0.087,ok,avanzando en rough
592,63.5,67.8,65.8,74.2,70.3,65.7,66.6,69.0,-1.437,0.001,9.798,-1.536,3751.641,-19.986,2.908,0.0502,35.212,35.934,rough,0.0,8.3,63.5,66.6,0.4184,-0.4808,-0.1,ok,avanzando en rough
593,69.9,67.1,61.1,74.5,72.7,63.8,63.7,66.1,0.02,0.001,9.783,-2.202,-1850.235,-15.242,1.457,0.0502,35.262,35.984,rough,0,0.1,66.1,63.7,0.4194,-0.4809,-0.11,ok,avanzando en rough
594,70.5,65.7,71.3,70.5,66.0,68.8,68.5,68.1,0.02,0.001,9.784,-3.416,31.46,-12.204,0.001,0.0502,35.312,36.035,carpet,0,0.1,68.1,65.7,0.4204,-0.481,-0.118,ok,avanzando en carpet
595,67.5,67.7,71.1,64.4,75.4,68.6,67.0,66.2,1.001,0.001,9.79,-1.93,15.782,-10.827,0.981,0.1005,35.413,36.135,rough,0.0,5.8,66.2,67.0,0.4224,-0.4813,-0.125,ok,avanzando en rough
596,65.5,69.4,70.3,60.8,66.8,66.8,63.1,69.5,-1.169,0.001,9.763,-2.315,4845.187,-8.257,2.171,0.0502,35.463,36.185,rough,0,6.8,65.5,63.1,0.4234,-0.4814,-0.13,ok,avanzando en rough
597,65.6,63.9,69.6,68.7,71.0,68.9,65.1,71.4,-0.084,0.001,9.795,-1.749,-2381.753,-6.262,1.086,0.0502,35.513,36.236,rough,0.0,0.5,65.6,63.9,0.4244,-0.4815,-0.134,ok,explorando (rough)
598,72.4,65.6,66.5,69.5,72.8,67.2,66.1,68.7,-0.004,0.0,9.832,0.335,174.525,89.685,0.088,-0.0031,36.173,35.57,sand,0.0,0.0,68.7,65.6,0.4243,-0.4815,-0.576,ok,avanzando en sand
599,69.3,59.5,72.3,65.2,62.0,69.2,64.4,63.2,1.644,0.001,9.819,-10.054,-6596.116,70.184,1.648,0.0754,36.248,35.645,rough,0,9.5,63.2,59.5,0.4256,-0.4823,-0.531,ok,avanzando en rough
600,70.1,65.9,64.7,63.5,60.8,76.5,64.8,63.2,-0.262,-0.0,9.811,-4.831,3257.743,56.201,1.906,0.0502,36.298,35.696,rough,0,1.5,63.2,64.8,0.4265,-0.4827,-0.495,ok,avanzando en rough
601,67.5,69.6,68.8,68.5,61.1,63.3,68.0,62.8,-0.018,-0.001,9.814,-5.851,3481.968,45.992,0.244,0.0502,36.349,35.746,metal,0.0,0.1,62.8,68.0,0.4274,-0.4832,-0.466,ok,avanzando en metal
602,63.8,69.6,67.5,69.6,73.7,65.7,72.2,67.4,1.5,-0.002,9.764,-8.386,-3219.33,40.989,1.519,0.1193,36.468,35.865,rough,0.01,8.7,63.8,69.6,0.4296,-0.4842,-0.439,ok,avanzando en rough
603,64.1,64.4,68.7,67.4,67.0,67.5,63.3,66.3,-1.413,-0.001,9.808,0.798,3697.319,30.444,2.914,0.0502,36.518,35.915,rough,0,8.2,64.1,63.3,0.4305,-0.4846,-0.42,ok,avanzando en rough
604,67.6,61.4,63.4,63.6,70.0,71.3,76.9,69.5,0.04,-0.001,9.802,2.509,-1814.849,24.33,1.453,0.0502,36.568,35.966,rough,0.0,0.2,67.6,61.4,0.4314,-0.485,-0.404,ok,avanzando en rough
605,74.6,73.2,66.1,66.8,70.2,67.0,62.6,71.9,0.036,-0.001,9.81,3.994,126.12,19.466,0.009,0.0502,36.619,36.016,carpet,0.0,0.2,71.9,62.6,0.4323,-0.4854,-0.392,ok,avanzando en carpet
606,71.2,71.4,66.9,70.7,67.5,64.9,69.7,66.7,1.011,-0.001,9.843,1.963,92.809,16.554,0.976,0.1005,36.719,36.116,rough,0,5.9,66.7,69.7,0.4342,-0.4861,-0.381,ok,avanzando en rough
607,60.8,70.8,67.2,66.9,65.6,65.0,66.6,72.6,-1.155,-0.001,9.821,2.725,4944.604,12.53,2.166,0.0502,36.769,36.167,rough,0.0,6.7,60.8,66.6,0.4351,-0.4865,-0.373,ok,explorando (rough)
608,64.4,69.3,64.4,67.7,65.8,63.1,71.3,65.3,-0.014,0.002,9.802,0.082,-60.498,-89.62,1.141,-0.0031,36.104,36.826,rough,0.0,0.1,64.4,69.3,0.4351,-0.4865,0.069,ok,avanzando en rough
609,71.7,65.9,71.1,65.9,66.5,66.7,68.6,66.0,1.172,0.0,9.821,7.51,-4886.683,-72.028,1.186,0.0502,36.154,36.876,rough,0.0,6.8,66.0,65.9,0.4361,-0.4865,0.023,ok,avanzando en rough
610,66.9,65.2,66.8,65.0,68.5,66.7,71.6,66.5,0.094,0.0,9.801,5.954,2405.275,-56.316,1.077,0.0502,36.204,36.926,rough,0,0.6,66.5,65.2,0.4371,-0.4865,-0.013,ok,avanzando en rough
611,69.9,68.5,65.5,70.7,66.2,68.3,70.2,68.5,-0.016,0.001,9.765,6.388,2557.69,-46.424,0.116,0.0502,36.254,36.977,metal,0,0.1,68.5,68.5,0.4381,-0.4865,-0.043,ok,avanzando en metal
612,66.5,66.6,74.0,64.9,65.6,63.2,67.8,64.9,1.536,0.001,9.821,8.871,-4136.747,-36.939,1.553,0.1225,36.374,37.102,rough,0,8.9,64.9,66.6,0.4405,-0.4867,-0.064,ok,avanzando en rough
613,68.6,67.5,70.4,64.6,71.3,67.9,67.8,60.7,-1.339,0.001,9.801,-0.431,2869.336,-30.393,2.875,0.0502,36.424,37.152,rough,0.0,7.8,60.7,67.5,0.4415,-0.4868,-0.084,ok,explorando (rough)
614,67.2,66.0,70.5,63.9,64.3,70.8,64.5,69.8,0.015,0.003,9.813,-2.093,1.083,92.784,1.355,0.0,37.09,36.487,rough,0.0,0.1,67.2,64.5,0.4415,-0.4868,-0.526,ok,avanzando en rough
615,73.0,69.5,66.7,68.9,66.2,66.6,71.7,72.6,1.01,-0.001,9.799,-11.702,-20.769,72.207,0.995,0.0502,37.14,36.537,rough,0.0,5.9,72.6,69.5,0.4424,-0.4872,-0.48,ok,avanzando en rough
616,70.1,72.0,66.7,70.8,66.8,71.0,70.8,60.7,0.013,-0.0,9.864,-9.77,17.258,59.172,0.999,0.0502,37.19,36.587,rough,0,0.1,60.7,70.8,0.4433,-0.4877,-0.442,ok,avanzando en rough
617,67.1,65.4,64.6,69.2,64.3,70.4,66.6,62.6,0.011,-0.001,9.813,-5.725,59.896,48.109,0.05,0.0502,37.24,36.638,carpet,0,0.1,62.6,65.4,0.4443,-0.4881,-0.411,ok,avanzando en carpet
618,63.7,64.5,68.7,62.0,70.0,67.2,67.6,68.4,1.192,-0.001,9.81,-6.823,-4685.53,38.711,1.181,0.1005,37.341,36.738,rough,0.0,6.9,63.7,64.5,0.4461,-0.4888,-0.387,ok,avanzando en rough
619,73.0,68.0,67.1,63.1,66.7,70.0,69.2,65.5,-0.87,-0.001,9.848,0.782,2348.338,31.401,2.062,0.0502,37.391,36.788,rough,0,5.0,65.5,68.0,0.4471,-0.4892,-0.366,ok,avanzando en rough
620,65.4,68.3,65.2,71.0,72.7,60.3,62.1,65.9,0.003,-0.001,9.822,0.477,2541.461,25.144,0.873,0.0502,37.441,36.838,rough,0.0,0.0,65.4,62.1,0.448,-0.4895,-0.35,ok,avanzando en rough
621,66.2,69.0,73.7,68.5,58.8,61.9,65.2,60.4,-0.105,-0.001,9.773,1.226,2597.626,20.103,0.119,0.0502,37.492,36.889,metal,0.0,0.6,60.4,65.2,0.4489,-0.4899,-0.337,ok,avanzando en metal
622,68.7,75.1,67.3,64.1,68.3,65.7,67.2,64.9,1.446,-0.001,9.779,-0.33,-4195.656,17.242,1.55,0.1193,37.611,37.008,rough,0.01,8.4,64.9,67.2,0.4512,-0.4906,-0.326,ok,avanzando en rough
623,61.6,64.6,69.1,65.1,72.0,64.2,73.2,70.0,-1.414,-0.001,9.8,2.752,2631.397,12.875,2.86,0.0502,37.661,37.058,rough,0,8.2,61.6,64.6,0.4522,-0.4909,-0.318,ok,avanzando en rough
624,67.6,67.3,67.0,68.0,71.6,64.7,66.1,67.4,-0.034,-0.001,9.754,3.212,-106.608,9.992,1.381,0.0502,37.711,37.109,rough,0.0,0.2,67.4,66.1,0.4531,-0.4913,-0.312,ok,avanzando en rough
625,66.2,61.5,65.9,67.4,65.1,65.3,65.9,62.2,-0.028,-0.001,9.766,2.594,-130.363,7.681,0.013,0.0502,37.762,37.159,carpet,0,0.2,62.2,61.5,0.4541,-0.4916,-0.307,ok,avanzando en carpet
626,66.5,64.9,66.9,70.5,65.7,69.8,69.2,72.2,1.156,-0.0,9.793,1.896,-4895.036,6.152,1.184,0.1005,37.862,37.259,rough,0.0,6.7,66.5,64.9,0.456,-0.4922,-0.303,ok,avanzando en rough
627,73.7,67.9,67.9,67.4,68.2,64.1,68.8,59.7,-0.901,-0.0,9.765,1.527,2452.319,4.183,2.058,0.0502,37.912,37.309,rough,0,5.3,59.7,67.9,0.457,-0.4925,-0.3,ok,avanzando en rough
628,64.3,68.7,69.8,68.1,60.5,68.0,66.1,63.3,-0.033,-0.001,9.814,2.011,2572.376,3.299,0.87,0.0502,37.963,37.36,rough,0,0.2,63.3,66.1,0.4579,-0.4928,-0.298,ok,avanzando en rough
629,62.0,67.4,67.3,65.1,70.1,69.1,68.4,64.6,-0.029,-0.0,9.793,1.836,-78.857,2.336,0.021,0.0502,38.013,37.41,carpet,0.0,0.2,62.0,67.4,0.4589,-0.493,-0.297,ok,avanzando en carpet
630,65.8,70.2,66.2,64.7,65.5,62.5,63.8,68.3,1.155,-0.0,9.767,1.377,-4878.375,1.984,1.185,0.1005,38.113,37.51,rough,0,6.7,65.8,63.8,0.4608,-0.4936,-0.295,ok,avanzando en rough
631,67.9,61.5,68.4,71.5,65.6,64.6,66.6,64.2,-0.91,-0.0,9.796,0.887,2440.113,1.058,2.065,0.0502,38.164,37.561,rough,0.0,5.3,64.2,61.5,0.4618,-0.4939,-0.295,ok,avanzando en rough
632,58.2,63.1,66.9,65.6,69.8,61.8,58.4,69.3,-0.033,-0.0,9.779,1.146,2555.176,0.958,0.877,0.0502,38.214,37.611,rough,0,0.2,58.2,58.4,0.4627,-0.4942,-0.294,ok,avanzando en rough
633,64.7,67.0,70.5,71.5,63.5,61.9,70.6,59.1,-0.03,-0.0,9.848,0.967,-80.929,0.668,0.069,0.0502,38.264,37.661,carpet,0,0.2,59.1,67.0,0.4637,-0.4945,-0.294,ok,explorando (carpet)
634,67.1,70.3,70.0,62.7,60.9,67.8,63.4,69.1,0.022,-0.003,9.818,0.784,9.799,-88.887,0.06,0.0031,37.605,38.327,sand,0.0,0.1,67.1,63.4,0.4637,-0.4945,0.149,ok,avanzando en sand
635,64.1,67.2,69.6,68.1,69.9,64.9,66.5,64.5,1.672,-0.001,9.794,10.892,-6745.491,-69.236,1.65,0.0691,37.674,38.396,rough,0.018,9.7,64.1,66.5,0.4651,-0.4944,0.105,ok,avanzando en rough
636,72.9,66.4,72.9,71.3,64.8,66.6,66.2,69.6,-0.242,0.0,9.814,5.305,3327.334,-55.21,1.914,0.0502,37.724,38.446,rough,0.0,1.4,69.6,66.2,0.4661,-0.4943,0.069,ok,avanzando en rough
637,71.6,62.7,69.1,65.0,72.3,68.6,63.5,67.1,-0.001,0.001,9.847,6.561,3567.905,-45.579,0.243,0.0502,37.774,38.496,metal,0,0.0,67.1,62.7,0.4671,-0.4942,0.04,ok,explorando (metal)
638,65.4,60.8,63.6,67.5,68.4,69.4,65.3,62.9,0.013,-0.004,9.831,2.83,28.391,-94.407,0.022,-0.0031,37.109,39.156,sand,0.0,0.1,62.9,60.8,0.4671,-0.4943,0.479,ok,avanzando en sand
639,69.3,66.2,70.3,66.1,70.4,72.3,62.5,67.9,1.668,-0.0,9.747,13.837,-6656.3,-81.614,1.657,0.0722,37.178,39.231,rough,0,9.7,67.9,62.5,0.4684,-0.4937,0.429,ok,avanzando en rough
640,67.6,70.2,65.3,71.0,69.2,66.9,65.7,65.6,-0.241,-0.0,9.824,6.648,3298.95,-65.829,1.911,0.0502,37.228,39.281,rough,0.0,1.4,65.6,65.7,0.4693,-0.4933,0.387,ok,avanzando en rough
641,72.9,69.6,68.8,67.9,65.8,68.0,68.7,67.9,0.001,0.001,9.817,8.448,3545.749,-52.869,0.242,0.0502,37.278,39.332,metal,0,0.0,67.9,68.7,0.4703,-0.4929,0.353,ok,avanzando en metal
642,65.8,68.3,70.6,73.5,60.5,63.7,66.4,61.6,1.511,0.001,9.754,10.888,-3122.639,-44.15,1.512,0.1225,37.404,39.451,rough,0,8.8,61.6,66.4,0.4726,-0.4922,0.323,ok,avanzando en rough
643,72.5,68.7,68.2,67.3,71.2,70.1,69.2,65.2,-1.404,0.001,9.789,0.439,3839.633,-34.284,2.915,0.0502,37.454,39.501,rough,0.0,8.2,65.2,68.7,0.4735,-0.4919,0.301,ok,avanzando en rough
644,64.8,70.9,66.0,68.0,64.5,72.0,63.5,67.3,0.05,0.001,9.781,-2.207,-1897.205,-26.383,1.454,0.0502,37.504,39.551,rough,0,0.3,64.8,63.5,0.4745,-0.4916,0.284,ok,avanzando en rough
645,68.8,71.2,70.8,69.4,64.4,67.9,63.2,64.9,0.044,0.001,9.742,-3.551,176.233,-21.414,0.039,0.0502,37.554,39.602,carpet,0,0.3,64.9,63.2,0.4755,-0.4913,0.27,ok,avanzando en carpet
646,67.7,63.4,66.0,70.2,67.0,67.7,68.5,65.1,1.024,0.001,9.811,-1.492,132.951,-18.412,0.982,0.1005,37.655,39.702,rough,0.0,6.0,65.1,63.4,0.4774,-0.4908,0.258,ok,explorando (rough)
647,67.1,74.9,75.0,63.7,63.3,68.8,69.2,64.7,0.015,0.004,9.785,-3.031,56.638,88.493,1.01,-0.0031,38.314,39.036,rough,0.0,0.1,64.7,69.2,0.4774,-0.4908,-0.184,ok,avanzando en rough
648,77.5,66.3,69.1,63.6,64.3,69.9,63.6,73.3,1.005,0.0,9.808,-12.075,-22.224,74.839,0.991,0.0502,38.365,39.087,rough,0,5.9,73.3,63.6,0.4784,-0.4909,-0.137,ok,avanzando en rough
649,69.0,70.7,69.4,66.9,69.1,65.8,70.1,64.3,0.012,0.0,9.778,-10.097,15.547,59.544,0.993,0.0502,38.415,39.137,rough,0,0.1,64.3,70.1,0.4794,-0.491,-0.098,ok,avanzando en rough
650,66.9,72.8,62.9,67.0,62.4,66.8,64.3,70.0,0.011,-0.0,9.84,-6.028,57.293,47.475,0.063,0.0502,38.465,39.187,carpet,0.0,0.1,66.9,64.3,0.4804,-0.4911,-0.068,ok,avanzando en carpet
651,69.9,64.3,67.9,70.1,67.8,70.9,65.9,65.2,1.19,-0.001,9.827,-7.014,-4693.321,39.844,1.179,0.1005,38.565,39.288,rough,0,6.9,65.2,64.3,0.4824,-0.4912,-0.043,ok,avanzando en rough
652,67.9,68.8,71.1,67.1,65.1,70.1,65.5,70.1,-0.873,-0.0,9.833,0.496,2347.197,30.873,2.063,0.0502,38.616,39.338,rough,0.0,5.1,67.9,65.5,0.4834,-0.4912,-0.023,ok,avanzando en rough
653,70.0,70.4,68.0,60.5,62.8,67.6,67.1,71.5,0.003,-0.001,9.771,0.217,2548.759,24.528,0.879,0.0502,38.666,39.388,rough,0.0,0.0,70.0,67.1,0.4844,-0.4912,-0.007,ok,avanzando en rough
654,66.1,73.7,66.3,64.7,69.7,63.8,71.8,68.0,-0.105,-0.001,9.781,0.993,2579.346,19.424,0.109,0.0502,38.716,39.438,metal,0,0.6,66.1,71.8,0.4854,-0.4912,0.005,ok,avanzando en metal
655,64.9,68.6,67.5,69.0,66.2,75.8,76.0,62.0,1.453,-0.001,9.846,-0.493,-4216.54,16.608,1.559,0.1193,38.836,39.558,rough,0.01,8.4,62.0,68.6,0.4878,-0.4912,0.016,ok,avanzando en rough
656,64.9,65.8,63.3,67.8,69.5,66.4,71.9,66.7,-1.411,-0.001,9.788,2.524,2625.542,12.049,2.864,0.0502,38.886,39.608,rough,0.0,8.2,64.9,65.8,0.4888,-0.4911,0.024,ok,avanzando en rough
657,62.1,69.1,67.1,66.3,69.0,67.0,67.4,67.7,-0.034,-0.001,9.804,3.059,-106.827,8.84,1.377,0.0502,38.936,39.658,rough,0,0.2,62.1,67.4,0.4898,-0.4911,0.029,ok,avanzando en rough
658,68.4,67.6,67.8,69.2,71.2,66.4,71.3,67.2,-0.028,-0.001,9.784,2.461,-130.395,7.083,0.021,0.0502,38.986,39.708,carpet,0,0.2,67.2,67.6,0.4908,-0.4911,0.034,ok,avanzando en carpet
659,65.6,69.8,64.3,64.1,58.6,63.2,65.4,68.4,1.158,-0.001,9.812,1.773,-4907.579,6.223,1.186,0.1005,39.087,39.809,rough,0.0,6.7,65.6,65.4,0.4928,-0.491,0.038,ok,explorando (rough)
660,66.1,68.8,66.7,61.2,64.8,74.7,70.9,68.6,0.011,-0.003,9.81,-6.733,494.47,-39.57,1.147,0.0,38.785,40.11,rough,0.0,0.1,66.1,68.8,0.4928,-0.491,0.24,ok,avanzando en rough
661,68.9,62.9,67.0,69.2,66.6,61.1,69.0,63.0,1.173,-0.0,9.791,-2.116,-4272.037,-30.958,1.162,0.0502,38.836,40.161,rough,0,6.8,63.0,62.9,0.4938,-0.4908,0.22,ok,avanzando en rough
662,73.2,66.8,71.6,64.5,64.2,70.6,62.1,63.9,0.098,0.001,9.786,-0.303,2116.209,-23.477,1.074,0.0502,38.886,40.211,rough,0.0,0.6,63.9,62.1,0.4947,-0.4906,0.205,ok,avanzando en rough
663,70.5,67.3,70.1,65.1,65.4,68.9,67.8,66.7,0.001,0.001,9.786,-1.241,2275.047,-19.472,0.097,0.0502,38.936,40.261,carpet,0,0.0,66.7,67.3,0.4957,-0.4904,0.192,ok,avanzando en carpet
664,65.9,69.3,70.1,67.8,63.2,68.6,64.9,69.8,1.086,0.001,9.783,-0.039,-2474.336,-15.104,1.085,0.1005,39.036,40.362,rough,0.0,6.3,65.9,64.9,0.4977,-0.49,0.183,ok,avanzando en rough
665,68.1,62.6,65.4,69.1,67.3,64.5,66.9,61.3,-0.981,0.001,9.84,-2.536,2489.879,-12.482,2.068,0.0502,39.087,40.412,rough,0,5.7,61.3,62.6,0.4987,-0.4899,0.175,ok,avanzando en rough
666,69.9,65.7,67.4,65.8,63.6,74.5,69.3,69.6,-0.105,0.001,9.827,-2.5,2527.548,-9.987,0.876,0.0502,39.137,40.462,rough,0,0.6,69.6,65.7,0.4997,-0.4897,0.168,ok,avanzando en rough
667,67.6,73.3,66.4,69.1,68.2,66.5,67.6,65.3,-0.087,0.001,9.792,-2.994,-424.381,-7.82,0.04,0.0502,39.187,40.512,carpet,0.0,0.5,65.3,67.6,0.5007,-0.4895,0.163,ok,explorando (carpet)
668,59.7,68.6,66.8,63.2,65.3,66.0,66.9,67.9,-0.008,0.001,9.821,0.137,184.706,88.467,0.084,0.0031,39.853,39.853,sand,0.0,0.0,59.7,66.9,0.5007,-0.4895,-0.279,ok,avanzando en sand
669,66.6,64.4,67.9,65.1,63.3,63.6,65.0,63.3,1.641,0.001,9.804,-10.391,-6566.023,75.567,1.649,0.0691,39.922,39.922,rough,0.018,9.5,63.3,64.4,0.5021,-0.4899,-0.231,ok,avanzando en rough
670,61.2,64.3,67.4,65.3,61.2,69.8,67.4,68.2,-0.263,-0.0,9.801,-4.769,3232.516,60.895,1.904,0.0502,39.972,39.972,rough,0,1.5,61.2,64.3,0.5031,-0.49,-0.192,ok,avanzando en rough
