step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,safety,action
116,67.0,70.8,70.5,71.0,65.7,70.4,64.2,72.5,0.005,0.0,9.839,-0.549,124.329,28.709,0.033,0.0,10.513,7.863,sand,0.0,0.0,67.0,64.2,ok,explorando (sand)
117,69.5,67.9,64.0,67.5,64.1,65.4,60.6,76.0,-0.001,0.0,9.801,-0.444,129.75,23.105,0.038,0.0,10.513,7.863,sand,0.0,0.0,69.5,60.6,ok,explorando (sand)
118,69.1,69.7,71.5,60.5,69.9,65.5,74.3,70.3,-0.006,0.0,9.826,-0.356,128.367,18.828,0.025,0.0,10.513,7.863,sand,0.0,0.0,69.1,69.7,ok,explorando (sand)
119,66.6,69.7,66.4,70.5,64.3,68.1,67.5,63.2,-0.011,0.0,9.819,-0.28,117.174,15.273,0.008,0.0,10.513,7.863,sand,0.0,0.1,63.2,67.5,ok,avanzando en sand a 35% slip=0.0
120,66.5,67.6,67.3,62.6,66.4,62.0,66.0,66.8,1.647,-0.0,9.732,-2.402,-6608.968,13.385,1.66,0.0691,10.582,7.932,rough,0.018,9.6,66.5,66.0,ok,avanzando en sand a 35% slip=0.0
121,68.5,64.9,62.6,66.1,73.1,65.5,64.8,66.2,0.128,0.0,9.769,-1.835,3262.34,11.763,1.519,0.0691,10.651,8.001,rough,0.018,0.8,66.2,64.8,ok,avanzando en sand a 35% slip=0.0
122,56.0,60.3,68.5,68.8,72.6,65.8,67.2,69.0,-0.018,-0.0,9.788,-1.934,3436.908,9.749,0.147,0.0691,10.72,8.07,metal,0.018,0.1,56.0,60.3,ok,avanzando en sand a 35% slip=0.0
123,66.3,69.9,66.8,67.2,66.5,70.6,67.3,70.5,0.054,-0.0,9.773,-0.172,-1703.248,7.555,0.073,0.0722,10.795,8.139,carpet,0,0.3,66.3,67.3,ok,avanzando en sand a 35% slip=0.0
124,73.5,65.3,65.2,66.7,65.7,69.2,69.2,70.0,0.046,-0.0,9.75,0.102,189.375,6.175,0.025,0.0722,10.864,8.214,carpet,0,0.3,70.0,65.3,ok,avanzando en carpet a 50% slip=0
125,66.6,68.6,68.4,71.4,63.3,68.3,68.4,70.8,0.628,-0.0,9.861,-0.032,148.48,5.138,0.592,0.1005,10.965,8.315,rough,0,3.6,66.6,68.4,ok,avanzando en carpet a 50% slip=0
126,70.8,62.1,72.8,66.7,63.9,67.9,64.0,67.6,0.031,-0.0,9.818,-0.002,221.889,4.112,0.598,0.1005,11.065,8.415,rough,0,0.2,67.6,62.1,ok,avanzando en carpet a 50% slip=0
127,67.6,67.7,66.6,63.0,63.6,63.1,65.7,71.2,0.019,-0.0,9.856,0.307,279.626,3.271,0.04,0.1005,11.166,8.516,carpet,0.0,0.1,67.6,65.7,ok,avanzando en carpet a 50% slip=0
128,72.6,62.2,65.3,66.1,67.8,66.6,66.9,61.7,0.006,-0.0,9.813,0.492,321.701,2.583,0.045,0.1005,11.266,8.616,carpet,0,0.0,61.7,62.2,ok,avanzando en carpet a 50% slip=0
129,71.0,72.9,69.9,63.5,69.7,67.4,65.9,66.7,-0.008,-0.0,9.795,0.588,343.459,1.989,0.023,0.1005,11.367,8.717,carpet,0.0,0.0,66.7,65.9,ok,avanzando en carpet a 50% slip=0.0
130,68.0,67.7,70.1,67.7,72.4,62.6,63.0,62.4,-0.023,-0.0,9.831,0.617,341.726,1.522,0.039,0.1005,11.467,8.817,carpet,0,0.1,62.4,63.0,ok,avanzando en carpet a 50% slip=0.0
131,72.7,63.2,63.6,65.6,63.5,67.3,66.3,70.9,-0.021,-0.0,9.778,0.644,-41.343,1.129,0.053,0.1005,11.568,8.918,carpet,0,0.1,70.9,63.2,ok,avanzando en carpet a 50% slip=0.0
132,64.8,71.5,64.0,65.0,69.2,69.6,67.3,67.8,-0.018,-0.0,9.799,0.558,-63.808,0.837,0.021,0.1005,11.668,9.018,carpet,0,0.1,64.8,67.3,ok,avanzando en carpet a 50% slip=0.0
133,66.1,69.0,63.8,68.2,72.9,64.1,77.3,65.6,-0.015,-0.0,9.813,0.501,-83.966,0.598,0.014,0.1005,11.769,9.119,carpet,0,0.1,65.6,69.0,ok,avanzando en carpet a 50% slip=0.0
134,65.5,70.6,68.8,63.7,67.3,71.6,71.5,73.5,-0.01,-0.0,9.807,0.441,-99.437,0.42,0.007,0.1005,11.869,9.219,carpet,0.0,0.1,65.5,70.6,ok,avanzando en carpet a 50% slip=0.0
135,66.0,65.4,65.3,66.3,64.1,65.7,69.9,69.9,-0.006,-0.0,9.821,0.377,-111.051,0.286,0.015,0.1005,11.97,9.32,carpet,0,0.0,66.0,65.4,ok,avanzando en carpet a 50% slip=0.0
136,66.2,62.0,68.4,64.6,69.5,66.5,69.9,61.8,-0.001,-0.0,9.821,0.315,-116.665,0.183,0.005,0.1005,12.07,9.42,carpet,0.0,0.0,61.8,62.0,ok,avanzando en carpet a 50% slip=0.0
137,62.6,68.3,66.7,66.7,69.1,62.0,68.5,61.7,0.004,-0.0,9.821,0.26,-115.627,0.11,0.005,0.0973,12.171,9.514,carpet,0.031,0.0,61.7,68.3,ok,avanzando en carpet a 50% slip=0.0
138,60.3,70.2,63.4,71.4,64.6,68.3,67.9,65.5,0.009,-0.0,9.854,0.211,-108.222,0.058,0.033,0.1005,12.271,9.615,carpet,0.0,0.0,60.3,67.9,ok,avanzando en carpet a 50% slip=0.0
139,70.4,70.3,69.1,76.2,67.0,69.4,64.5,69.1,0.012,-0.0,9.823,0.168,-94.83,0.022,0.031,0.1005,12.372,9.715,carpet,0,0.1,69.1,64.5,ok,avanzando en carpet a 50% slip=0
140,64.6,60.0,60.9,68.6,66.5,65.3,66.4,69.0,0.016,-0.0,9.811,0.131,-76.212,-0.001,0.013,0.1005,12.472,9.816,carpet,0,0.1,64.6,60.0,ok,avanzando en carpet a 50% slip=0
141,68.3,69.0,67.3,68.6,66.1,64.9,67.5,63.0,0.015,-0.0,9.773,0.09,6.8,-0.016,0.038,0.1005,12.573,9.916,carpet,0.0,0.1,63.0,67.5,ok,avanzando en carpet a 50% slip=0
142,65.4,68.4,62.2,63.6,65.1,69.2,67.1,60.3,0.014,-0.0,9.823,0.077,29.102,-0.025,0.05,0.1005,12.673,10.017,carpet,0,0.1,60.3,67.1,ok,avanzando en carpet a 50% slip=0
143,66.6,65.6,69.8,67.2,61.7,68.0,70.0,62.1,0.012,-0.0,9.821,0.056,49.804,-0.029,0.003,0.1005,12.774,10.117,carpet,0.0,0.1,62.1,65.6,ok,avanzando en carpet a 50% slip=0
144,62.9,67.8,69.3,67.3,70.0,60.5,63.8,63.3,0.009,-0.0,9.804,0.04,66.751,-0.03,0.018,0.1005,12.874,10.218,carpet,0,0.1,62.9,63.8,ok,avanzando en carpet a 50% slip=0
145,71.9,67.1,70.9,62.8,71.2,64.9,66.2,65.0,0.006,-0.0,9.845,0.027,80.11,-0.029,0.042,0.1005,12.974,10.318,carpet,0.0,0.0,65.0,66.2,ok,avanzando en carpet a 50% slip=0
146,62.9,65.6,65.3,65.9,64.3,63.1,70.5,69.3,0.002,0.0,9.809,0.017,88.718,-0.026,0.036,0.1005,13.075,10.419,carpet,0,0.0,62.9,65.6,ok,avanzando en carpet a 50% slip=0
147,64.4,62.1,72.5,68.0,69.4,65.2,65.6,65.9,-0.002,0.0,9.808,0.01,91.861,-0.024,0.004,0.1005,13.175,10.519,carpet,0,0.0,64.4,62.1,ok,avanzando en carpet a 50% slip=0
148,65.3,68.6,67.1,63.6,66.8,58.4,71.7,64.4,-0.005,0.0,9.803,0.005,89.565,-0.02,0.006,0.1005,13.276,10.619,carpet,0.0,0.0,64.4,68.6,ok,avanzando en carpet a 50% slip=0
149,69.1,63.8,67.0,65.8,69.9,66.4,67.5,72.9,-0.009,0.0,9.77,0.001,81.285,-0.017,0.033,0.1005,13.376,10.72,carpet,0,0.1,69.1,63.8,ok,explorando (carpet)
150,67.2,70.0,59.9,68.6,67.7,66.6,64.9,72.4,0.001,-0.015,9.818,16.45,2688.732,-28.455,0.051,0.0,13.075,11.021,sand,0.0,0.1,67.2,64.9,ok,explorando (carpet)
151,66.9,62.6,68.0,64.5,66.4,63.5,70.2,61.3,-0.112,-0.003,9.829,13.002,2677.621,-23.389,0.114,0.0,13.075,11.021,metal,0.0,0.7,61.3,62.6,ok,explorando (carpet)
152,67.8,74.0,67.4,66.1,66.9,62.7,62.6,66.4,-0.095,-0.001,9.865,9.224,-453.951,-18.221,0.039,0.0,13.075,11.021,sand,0.0,0.6,66.4,62.6,ok,explorando (carpet)
153,70.3,65.2,62.5,64.3,69.6,63.7,65.8,68.1,-0.068,-0.002,9.851,7.333,-588.618,-14.977,0.03,0.0,13.075,11.021,sand,0.0,0.4,68.1,65.2,ok,explorando (carpet)
154,67.9,63.2,65.4,67.0,67.2,66.5,67.9,68.7,-0.04,-0.001,9.808,5.846,-684.635,-12.265,0.052,0.0,13.075,11.021,sand,0.0,0.2,67.9,63.2,ok,avanzando en sand a 35% slip=0.0
155,73.4,72.4,66.6,69.0,69.6,68.2,71.6,65.4,1.653,-0.0,9.79,6.545,-7411.471,-10.679,1.692,0.0691,13.144,11.09,rough,0.018,9.6,65.4,71.6,ok,avanzando en sand a 35% slip=0.0
156,67.2,70.0,70.1,65.0,68.1,70.0,71.6,68.4,0.118,-0.001,9.764,3.995,3685.892,-9.888,1.535,0.0722,13.213,11.166,rough,0,0.7,67.2,70.0,ok,avanzando en sand a 35% slip=0.0
157,63.9,72.1,62.0,70.4,69.6,70.3,63.9,65.8,-0.045,-0.0,9.839,4.984,3849.534,-7.808,0.18,0.0691,13.282,11.235,metal,0.018,0.3,63.9,63.9,ok,avanzando en sand a 35% slip=0.0
158,63.4,63.4,69.3,68.1,69.0,62.9,71.8,69.3,0.034,-0.0,9.859,1.774,-1908.025,-6.144,0.082,0.0691,13.351,11.304,carpet,0.018,0.2,63.4,63.4,ok,avanzando en sand a 35% slip=0.0
159,66.9,68.5,65.3,70.6,71.7,67.8,62.0,66.2,0.031,-0.0,9.839,2.21,95.674,-4.977,0.021,0.0722,13.427,11.373,carpet,0,0.2,66.2,62.0,ok,avanzando en carpet a 50% slip=0
160,65.0,67.5,70.5,70.2,65.4,71.5,75.0,64.2,0.617,-0.0,9.779,1.864,73.613,-4.172,0.589,0.1005,13.527,11.474,rough,0,3.6,64.2,67.5,ok,avanzando en carpet a 50% slip=0
161,65.2,65.6,73.9,70.7,69.0,69.2,69.7,64.9,0.023,-0.0,9.79,1.489,128.174,-3.356,0.594,0.1005,13.628,11.574,rough,0.0,0.1,64.9,65.6,ok,avanzando en carpet a 50% slip=0
162,71.5,72.7,63.9,60.5,66.9,62.5,65.2,68.2,0.016,-0.0,9.786,0.925,174.699,-2.656,0.008,0.0973,13.722,11.675,carpet,0.031,0.1,68.2,65.2,ok,avanzando en carpet a 50% slip=0
163,67.7,64.0,61.2,67.1,70.9,67.4,64.2,66.2,0.007,0.0,9.8,0.526,209.586,-2.086,0.017,0.1005,13.822,11.775,carpet,0,0.0,66.2,64.0,ok,avanzando en carpet a 50% slip=0
164,69.7,64.6,65.3,68.9,68.1,66.8,63.8,63.8,-0.003,0.0,9.811,0.252,228.904,-1.616,0.014,0.1005,13.923,11.875,carpet,0,0.0,63.8,63.8,ok,explorando (carpet)
165,66.2,69.2,64.0,67.5,73.2,65.9,69.0,68.2,0.013,0.004,9.826,-5.04,75.044,85.674,0.022,0.0031,14.588,11.216,sand,0.0,0.1,66.2,69.0,ok,explorando (carpet)
166,65.1,66.8,68.6,66.5,62.0,68.5,70.4,60.7,0.008,0.001,9.769,-4.05,90.964,68.846,0.057,0.0,14.588,11.216,sand,0.0,0.0,60.7,66.8,ok,explorando (carpet)
167,69.6,62.9,70.3,65.3,63.7,67.3,77.1,73.8,0.004,0.001,9.793,-3.246,102.144,54.927,0.024,0.0,14.588,11.216,sand,0.0,0.0,69.6,62.9,ok,explorando (carpet)
168,62.3,66.9,67.5,65.8,70.2,59.6,64.4,67.9,-0.001,0.001,9.879,-2.61,106.775,44.122,0.086,0.0,14.588,11.216,sand,0.0,0.0,62.3,64.4,ok,explorando (carpet)
169,68.7,70.6,64.5,63.8,69.6,69.6,71.3,71.8,-0.005,0.001,9.791,-2.098,105.493,35.18,0.088,0.0,14.588,11.216,sand,0.0,0.0,68.7,70.6,ok,avanzando en sand a 35% slip=0.0
170,66.6,73.5,63.5,64.4,62.9,71.4,69.2,64.5,1.64,0.0,9.757,-5.911,-6570.868,29.361,1.645,0.0691,14.658,11.285,rough,0.018,9.5,64.5,69.2,ok,avanzando en sand a 35% slip=0.0
171,64.7,66.8,66.8,66.5,66.3,71.5,68.0,63.6,0.135,0.0,9.756,-4.152,3280.617,25.312,1.505,0.0691,14.727,11.354,rough,0.018,0.8,63.6,66.8,ok,avanzando en sand a 35% slip=0.0
172,70.2,68.8,64.7,59.8,69.1,69.5,72.4,64.4,-0.012,-0.0,9.841,-4.641,3477.669,19.982,0.169,0.0722,14.802,11.423,metal,0,0.1,64.4,68.8,ok,avanzando en sand a 35% slip=0.0
173,69.0,62.4,67.3,63.4,66.3,67.1,63.7,66.4,-0.156,-0.0,9.816,-2.82,3470.05,15.875,0.146,0.0691,14.871,11.492,metal,0.018,0.9,66.4,62.4,ok,avanzando en sand a 35% slip=0.0
174,64.5,62.5,70.1,65.5,67.9,64.2,67.3,68.9,-0.085,-0.0,9.79,-0.245,-1718.551,12.241,0.076,0.0722,14.94,11.568,carpet,0,0.5,64.5,62.5,ok,avanzando en carpet a 50% slip=0
175,71.3,67.6,61.5,66.5,67.6,67.9,66.7,71.6,0.701,-0.0,9.777,-0.46,-4683.414,10.087,0.786,0.1005,15.041,11.668,rough,0,4.1,71.3,66.7,ok,avanzando en carpet a 50% slip=0
176,71.2,62.6,68.0,73.9,58.5,67.5,68.8,69.3,0.015,-0.0,9.805,-0.153,2323.892,8.573,0.687,0.1005,15.141,11.769,rough,0,0.1,69.3,62.6,ok,avanzando en carpet a 50% slip=0
177,64.3,70.7,71.9,67.8,69.1,69.1,66.0,71.0,-0.084,-0.0,9.832,0.35,2348.264,6.768,0.102,0.1005,15.242,11.869,metal,0.0,0.5,64.3,66.0,ok,avanzando en carpet a 50% slip=0
178,62.5,69.4,69.8,61.2,62.8,73.0,69.4,59.4,-0.071,-0.0,9.864,1.177,-326.503,5.151,0.034,0.1005,15.342,11.97,carpet,0,0.4,59.4,69.4,ok,avanzando en carpet a 50% slip=0
179,66.7,69.6,66.5,66.2,71.7,65.8,71.3,66.7,-0.053,-0.0,9.85,1.06,-412.991,3.986,0.022,0.1005,15.443,12.07,carpet,0.0,0.3,66.7,69.6,ok,avanzando en carpet a 50% slip=0.0
180,68.1,67.3,67.2,66.0,72.5,66.2,62.4,70.8,-0.033,-0.0,9.782,1.126,-475.735,3.064,0.071,0.1005,15.543,12.171,carpet,0,0.2,68.1,62.4,ok,avanzando en carpet a 50% slip=0.0
181,64.7,70.5,61.5,74.2,65.2,66.5,68.1,64.4,-0.012,-0.0,9.771,1.124,-513.626,2.339,0.024,0.1005,15.643,12.271,carpet,0,0.1,64.4,68.1,ok,avanzando en carpet a 50% slip=0.0
182,66.5,70.8,68.1,66.0,64.5,60.9,67.5,67.2,0.01,-0.0,9.822,1.052,-519.068,1.818,0.055,0.1005,15.744,12.372,carpet,0,0.1,66.5,67.5,ok,avanzando en carpet a 50% slip=0.0
183,68.0,62.1,60.1,72.6,64.8,67.6,62.4,66.6,0.031,-0.0,9.8,0.954,-499.899,1.405,0.03,0.1005,15.844,12.472,carpet,0,0.2,66.6,62.1,ok,avanzando en carpet a 50% slip=0.0
184,61.0,67.6,67.2,68.5,71.3,71.7,72.4,72.0,0.028,-0.0,9.792,0.836,80.86,1.078,0.01,0.1005,15.945,12.573,carpet,0.0,0.2,61.0,67.6,ok,avanzando en carpet a 50% slip=0.0
185,70.7,65.7,63.8,69.7,67.2,70.8,65.2,64.9,0.023,-0.0,9.809,0.722,124.253,0.777,0.018,0.0973,16.045,12.667,carpet,0.031,0.1,64.9,65.2,ok,avanzando en carpet a 50% slip=0.0
186,66.8,69.9,68.4,67.7,63.9,69.0,67.6,64.2,0.016,-0.0,9.815,0.608,160.477,0.545,0.009,0.1005,16.146,12.767,carpet,0.0,0.1,64.2,67.6,ok,avanzando en carpet a 50% slip=0.0
187,67.6,69.7,64.3,64.9,62.6,67.7,68.5,68.3,0.008,-0.0,9.865,0.501,185.384,0.354,0.051,0.1005,16.246,12.868,carpet,0,0.0,67.6,68.5,ok,avanzando en carpet a 50% slip=0.0
188,70.2,66.1,68.2,68.7,68.1,62.1,63.8,63.5,-0.0,-0.0,9.805,0.407,199.119,0.201,0.06,0.1005,16.347,12.968,carpet,0,0.0,63.5,63.8,ok,avanzando en carpet a 50% slip=0.0
189,72.3,68.5,66.5,66.1,70.3,68.5,60.5,63.7,-0.009,-0.0,9.787,0.323,200.346,0.079,0.021,0.1005,16.447,13.069,carpet,0,0.1,63.7,60.5,ok,avanzando en carpet a 50% slip=0
190,56.4,70.8,69.7,67.0,69.3,63.0,64.5,63.4,-0.017,-0.0,9.779,0.251,189.118,0.014,0.011,0.1005,16.548,13.169,carpet,0.0,0.1,56.4,64.5,ok,avanzando en carpet a 50% slip=0
191,64.5,70.4,69.5,59.6,64.2,66.9,67.9,61.4,-0.016,-0.0,9.856,0.171,-11.065,-0.027,0.078,0.1005,16.648,13.27,carpet,0,0.1,61.4,67.9,ok,avanzando en carpet a 50% slip=0
192,67.4,64.7,63.9,62.8,71.3,67.2,72.5,68.2,-0.015,-0.0,9.777,0.147,-33.47,-0.043,0.08,0.1005,16.749,13.37,carpet,0,0.1,67.4,64.7,ok,avanzando en carpet a 50% slip=0
193,64.4,67.2,66.0,69.8,63.7,73.9,68.5,65.7,-0.012,-0.0,9.902,0.107,-53.924,-0.052,0.126,0.1005,16.849,13.471,metal,0.0,0.1,64.4,67.2,ok,avanzando en carpet a 50% slip=0
194,67.0,66.2,68.7,73.4,70.1,61.8,63.6,63.7,-0.009,-0.0,9.818,0.075,-71.455,-0.055,0.085,0.1005,16.95,13.571,carpet,0,0.1,63.7,63.6,ok,avanzando en carpet a 50% slip=0
195,69.3,65.0,66.1,64.2,75.0,60.5,65.3,67.2,-0.006,-0.0,9.779,0.05,-84.486,-0.054,0.039,0.1005,17.05,13.672,carpet,0,0.0,67.2,65.0,ok,avanzando en carpet a 50% slip=0
196,65.5,67.1,63.7,66.4,69.9,71.8,69.5,66.4,-0.002,0.0,9.79,0.032,-93.48,-0.05,0.012,0.1005,17.151,13.772,carpet,0,0.0,65.5,67.1,ok,avanzando en carpet a 50% slip=0
197,69.7,66.1,66.5,66.5,65.6,67.1,75.9,65.0,0.002,0.0,9.769,0.018,-96.164,-0.044,0.022,0.1005,17.251,13.873,carpet,0.0,0.0,65.0,66.1,ok,avanzando en carpet a 50% slip=0
198,69.7,66.6,67.2,69.9,65.3,62.6,69.4,67.1,0.006,0.0,9.805,0.008,-92.776,-0.039,0.036,0.1005,17.352,13.973,carpet,0,0.0,67.1,66.6,ok,avanzando en carpet a 50% slip=0
199,66.0,69.9,68.7,68.6,64.5,69.6,69.7,60.2,0.009,0.0,9.829,0.001,-84.892,-0.033,0.025,0.1005,17.452,14.073,carpet,0,0.1,60.2,69.7,ok,claude:carpet
200,71.6,66.9,65.4,66.8,70.2,68.2,60.6,63.1,0.012,0.0,9.851,-0.004,-71.314,-0.027,0.022,0.1005,17.553,14.174,carpet,0.0,0.1,63.1,60.6,ok,claude:carpet
201,68.8,66.9,68.3,70.4,71.1,70.0,68.7,67.1,0.015,0.0,9.847,-0.007,-53.596,-0.022,0.005,0.1005,17.653,14.274,carpet,0,0.1,67.1,66.9,ok,claude:carpet
202,61.2,62.0,62.0,64.4,71.1,65.4,66.1,70.2,0.015,0.0,9.77,-0.011,2.176,-0.017,0.077,0.1005,17.754,14.375,carpet,0,0.1,61.2,62.0,ok,claude:carpet
203,68.1,64.6,64.1,75.2,67.5,69.0,69.8,65.9,0.014,0.0,9.803,-0.009,22.892,-0.014,0.033,0.1005,17.854,14.475,carpet,0,0.1,65.9,64.6,ok,claude:carpet
204,69.5,66.8,66.0,60.5,68.9,68.2,64.9,63.1,0.012,0.0,9.813,-0.009,42.166,-0.01,0.01,0.1005,17.955,14.576,carpet,0.0,0.1,63.1,64.9,ok,avanzando en carpet a 50% slip=0.0
205,60.8,67.6,66.9,71.8,67.4,64.5,75.7,68.8,0.009,0.0,9.798,-0.009,59.397,-0.008,0.016,0.1005,18.055,14.676,carpet,0,0.1,60.8,67.6,ok,avanzando en carpet a 50% slip=0.0
206,62.6,61.0,67.9,61.4,65.4,70.0,64.2,67.7,0.006,0.0,9.816,-0.008,72.819,-0.005,0.018,0.1005,18.155,14.777,carpet,0,0.0,62.6,61.0,ok,avanzando en carpet a 50% slip=0.0
207,63.9,61.9,66.6,69.4,73.3,69.5,72.3,72.8,0.003,0.0,9.812,-0.007,81.267,-0.004,0.005,0.1005,18.256,14.877,carpet,0,0.0,63.9,61.9,ok,avanzando en carpet a 50% slip=0.0
208,64.2,71.8,67.4,63.5,67.3,72.0,71.2,62.5,-0.001,0.0,9.844,-0.006,85.402,-0.002,0.032,0.1005,18.356,14.978,carpet,0.0,0.0,62.5,71.2,ok,avanzando en carpet a 50% slip=0.0
209,69.9,63.8,72.1,70.5,67.6,66.2,67.1,60.5,-0.004,0.0,9.811,-0.005,84.483,-0.001,0.033,0.1005,18.457,15.078,carpet,0,0.0,60.5,63.8,ok,avanzando en carpet a 50% slip=0
210,63.5,67.7,66.4,72.2,71.2,71.0,63.7,66.1,-0.008,0.0,9.809,-0.005,78.475,-0.001,0.004,0.0973,18.551,15.179,carpet,0.031,0.0,63.5,63.7,ok,avanzando en carpet a 50% slip=0
211,64.7,64.3,64.8,63.7,68.8,63.6,68.5,70.1,-0.01,0.0,9.82,-0.004,67.863,-0.0,0.012,0.1005,18.652,15.279,carpet,0.0,0.1,64.7,64.3,ok,avanzando en carpet a 50% slip=0
212,67.8,66.9,69.8,62.7,66.9,65.0,72.8,65.4,-0.013,0.0,9.782,-0.003,53.227,0.0,0.038,0.1005,18.752,15.38,carpet,0,0.1,65.4,66.9,ok,avanzando en carpet a 50% slip=0
213,72.0,66.2,66.5,65.9,66.4,75.0,71.0,63.4,-0.014,0.0,9.817,-0.003,35.169,0.0,0.035,0.1005,18.853,15.48,carpet,0,0.1,63.4,66.2,ok,avanzando en carpet a 50% slip=0
214,63.3,65.5,65.8,62.9,67.7,69.8,72.4,73.9,-0.015,0.0,9.782,-0.002,15.245,0.001,0.036,0.1005,18.953,15.581,carpet,0,0.1,63.3,65.5,ok,avanzando en carpet a 50% slip=0
215,63.7,65.2,63.9,64.6,69.4,68.2,59.6,65.5,-0.014,0.0,9.836,-0.002,-5.754,0.001,0.054,0.1005,19.054,15.681,carpet,0.0,0.1,63.7,59.6,ok,avanzando en carpet a 50% slip=0
216,67.6,70.0,74.2,68.5,68.8,65.0,65.7,66.2,-0.013,0.0,9.811,-0.001,-26.51,0.001,0.025,0.1005,19.154,15.782,carpet,0,0.1,66.2,65.7,ok,avanzando en carpet a 50% slip=0
217,62.5,70.9,66.1,70.0,66.1,66.9,67.7,60.6,-0.011,0.0,9.854,-0.001,-45.592,0.001,0.043,0.1005,19.254,15.882,carpet,0,0.1,60.6,67.7,ok,avanzando en carpet a 50% slip=0
218,65.0,63.3,65.9,67.3,66.6,63.3,66.1,68.0,-0.009,0.0,9.82,-0.001,-61.504,0.001,0.034,0.1005,19.355,15.983,carpet,0.0,0.1,65.0,63.3,ok,avanzando en carpet a 50% slip=0
219,63.6,64.8,67.8,63.9,73.2,65.8,64.3,65.6,-0.006,0.0,9.779,-0.001,-74.4,0.001,0.041,0.1005,19.455,16.083,carpet,0,0.0,63.6,64.3,ok,avanzando en carpet a 50% slip=0
220,65.2,62.7,72.2,66.8,68.5,65.9,72.0,64.9,-0.002,0.0,9.816,-0.0,-82.553,0.0,0.037,0.1005,19.556,16.184,carpet,0,0.0,64.9,62.7,ok,avanzando en carpet a 50% slip=0
221,67.1,64.0,66.8,68.0,73.5,68.1,66.3,68.4,0.001,0.0,9.796,-0.0,-86.182,0.0,0.021,0.1005,19.656,16.284,carpet,0,0.0,67.1,64.0,ok,avanzando en carpet a 50% slip=0
222,66.3,64.1,65.2,68.8,68.3,70.4,68.7,63.6,0.005,0.0,9.783,-0.0,-83.853,0.0,0.013,0.1005,19.757,16.385,carpet,0.0,0.0,63.6,64.1,ok,avanzando en carpet a 50% slip=0
223,67.8,63.2,66.9,70.3,75.2,65.8,62.8,63.5,0.008,0.0,9.834,-0.0,-77.134,0.0,0.051,0.1005,19.857,16.485,carpet,0,0.0,63.5,62.8,ok,avanzando en carpet a 50% slip=0
224,63.7,66.1,63.7,66.2,65.1,66.3,67.9,77.6,0.011,-0.0,9.791,-0.0,-65.515,0.0,0.043,0.1005,19.958,16.585,carpet,0,0.1,63.7,66.1,ok,avanzando en carpet a 50% slip=0
225,67.3,66.3,66.6,63.3,64.7,67.3,65.9,70.5,0.013,-0.0,9.826,-0.0,-50.216,0.0,0.035,0.1005,20.058,16.686,carpet,0.0,0.1,67.3,65.9,ok,avanzando en carpet a 50% slip=0
226,69.8,65.8,66.1,67.8,66.3,69.2,73.2,69.3,0.014,-0.0,9.824,-0.0,-31.941,0.0,0.003,0.1005,20.159,16.786,carpet,0.0,0.1,69.3,65.8,ok,avanzando en carpet a 50% slip=0
227,62.6,67.2,69.3,65.1,73.5,71.6,65.1,74.3,0.014,-0.0,9.809,0.0,0.18,0.0,0.015,0.1005,20.259,16.887,carpet,0,0.1,62.6,65.1,ok,avanzando en carpet a 50% slip=0
228,66.1,67.6,73.7,68.4,64.5,65.0,72.0,69.3,0.013,-0.0,9.812,0.0,20.354,0.0,0.003,0.1005,20.36,16.987,carpet,0,0.1,66.1,67.6,ok,avanzando en carpet a 50% slip=0
229,72.2,67.0,66.9,65.7,68.0,69.4,67.9,59.6,0.012,-0.0,9.817,0.0,39.437,0.0,0.005,0.1005,20.46,17.088,carpet,0.0,0.1,59.6,67.0,ok,avanzando en carpet a 50% slip=0.0
230,67.3,70.2,66.6,65.6,66.3,62.1,62.9,69.6,0.009,-0.0,9.774,0.0,55.975,0.0,0.043,0.1005,20.561,17.188,carpet,0,0.1,67.3,62.9,ok,avanzando en carpet a 50% slip=0.0
231,68.4,67.3,66.7,67.5,60.2,66.4,69.5,65.8,0.006,-0.0,9.784,0.0,69.592,0.0,0.01,0.1005,20.661,17.289,carpet,0,0.0,65.8,67.3,ok,avanzando en carpet a 50% slip=0.0
232,68.9,66.1,73.1,70.1,71.2,74.3,67.5,74.9,0.003,-0.0,9.848,0.0,78.891,0.0,0.065,0.1005,20.762,17.389,carpet,0.0,0.0,68.9,66.1,ok,avanzando en carpet a 50% slip=0.0
233,66.7,67.8,66.8,69.1,64.8,60.4,62.8,64.5,-0.0,-0.0,9.819,0.0,83.295,0.0,0.03,0.1005,20.862,17.49,carpet,0.0,0.0,64.5,62.8,ok,avanzando en carpet a 50% slip=0.0
234,64.3,65.7,66.6,65.1,71.5,70.4,66.1,63.0,-0.004,-0.0,9.808,0.0,82.746,0.0,0.012,0.1005,20.963,17.59,carpet,0,0.0,63.0,65.7,ok,avanzando en carpet a 50% slip=0
235,68.7,62.4,72.2,67.4,68.2,63.0,62.6,69.0,-0.007,-0.0,9.805,0.0,77.685,0.0,0.004,0.1005,21.063,17.691,carpet,0,0.0,68.7,62.4,ok,avanzando en carpet a 50% slip=0
