step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,safety,action
26,67.4,65.4,67.4,66.5,66.9,65.4,60.8,60.9,-0.016,0.0,9.836,-0.002,-9.222,-0.0,0.045,0.1005,2.06,2.06,carpet,0.0,0.1,60.9,60.8,ok,avanzando en carpet a 50% slip=0
27,69.4,70.0,67.8,71.8,66.1,61.7,69.8,69.2,-0.015,0.0,9.84,-0.002,-32.006,-0.0,0.003,0.1005,2.16,2.16,carpet,0,0.1,69.2,69.8,ok,avanzando en carpet a 50% slip=0
28,68.2,63.6,66.5,75.6,66.1,66.0,69.9,69.4,-0.012,0.0,9.818,-0.001,-52.62,-0.0,0.022,0.1005,2.261,2.261,carpet,0,0.1,68.2,63.6,ok,avanzando en carpet a 50% slip=0
29,72.0,68.5,65.1,68.0,70.6,70.0,63.3,68.0,-0.009,0.0,9.757,-0.001,-70.033,-0.0,0.061,0.1005,2.361,2.361,carpet,0.0,0.1,68.0,63.3,ok,avanzando en carpet a 50% slip=0.0
30,60.4,68.3,65.4,66.1,68.7,70.7,66.5,69.1,-0.006,0.0,9.859,-0.001,-83.577,-0.0,0.101,0.1005,2.462,2.462,metal,0,0.0,60.4,66.5,ok,avanzando en carpet a 50% slip=0.0
31,58.1,71.5,68.7,73.3,71.5,67.1,62.8,68.5,-0.002,0.0,9.822,-0.001,-92.01,-0.0,0.037,0.1005,2.562,2.562,carpet,0,0.0,58.1,62.8,ok,avanzando en carpet a 50% slip=0.0
32,73.1,67.2,64.6,71.3,65.3,65.9,63.2,67.4,0.002,0.0,9.859,-0.001,-94.845,0.0,0.037,0.1005,2.663,2.663,carpet,0,0.0,67.4,63.2,ok,avanzando en carpet a 50% slip=0.0
33,64.5,68.2,68.1,69.9,61.2,64.7,69.0,64.4,0.006,0.0,9.82,-0.0,-92.271,0.0,0.039,0.1005,2.763,2.763,carpet,0.0,0.0,64.4,68.2,ok,avanzando en carpet a 50% slip=0.0
34,67.8,64.2,69.2,67.2,65.8,64.1,67.6,66.2,0.009,0.0,9.785,-0.0,-83.964,0.0,0.035,0.1005,2.864,2.864,carpet,0,0.1,66.2,64.2,ok,avanzando en carpet a 50% slip=0
35,66.4,70.8,70.6,71.7,66.9,69.1,67.1,72.2,0.012,0.0,9.784,-0.0,-70.796,0.0,0.003,0.1005,2.964,2.964,carpet,0,0.1,66.4,67.1,ok,avanzando en carpet a 50% slip=0
36,64.0,63.3,69.0,71.1,59.8,65.2,68.7,65.7,0.014,0.0,9.8,-0.0,-53.204,0.0,0.017,0.1005,3.065,3.065,carpet,0.0,0.1,64.0,63.3,ok,avanzando en carpet a 50% slip=0
37,71.7,66.5,68.8,70.1,68.7,71.9,69.3,67.8,0.014,0.0,9.762,-0.0,1.416,0.0,0.038,0.1005,3.165,3.165,carpet,0,0.1,67.8,66.5,ok,avanzando en carpet a 50% slip=0
38,67.9,63.9,63.9,60.2,67.6,67.3,66.4,69.7,0.013,-0.0,9.785,-0.0,22.119,0.0,0.024,0.1005,3.266,3.266,carpet,0,0.1,67.9,63.9,ok,avanzando en carpet a 50% slip=0
39,63.3,71.0,63.3,62.7,66.4,64.8,66.1,70.2,0.012,-0.0,9.84,-0.0,41.352,0.0,0.054,0.1005,3.366,3.366,carpet,0,0.1,63.3,66.1,ok,avanzando en carpet a 50% slip=0
40,68.3,67.2,70.1,69.8,65.6,65.8,67.2,66.9,0.009,-0.0,9.835,-0.0,57.803,0.0,0.005,0.1005,3.467,3.467,carpet,0.0,0.1,66.9,67.2,ok,avanzando en carpet a 50% slip=0
